Strategy,SR_gross,SR_net,TR_gross,TR_net,MDD_net,avg_position,avg_daily_turnover
REG_ds1_fsN_huber_vanilla,0.8818194363676574,0.7683023757115454,0.1069526841936852,0.09096824679499993,-0.14523656713382982,1.02493309723735,0.07548172015276232
REG_ds1_fsY_mse_kelly,1.1369149896071107,0.7638877101473494,0.21080426931485197,0.12806370005507706,-0.22163478024526873,0.9944129636337451,0.3540598672192537
REG_ds1_fsY_huber_vanilla,0.828107855792517,0.749273055414277,0.10142600731649387,0.09013388031173908,-0.1550754330622317,1.0498165853969705,0.05182464273983373
XGB_ds1_fsN_mse_kelly,1.7552906927632652,0.748084888402586,0.2938588580051382,0.10501324647316457,-0.1532942436000384,1.022287928442919,0.8374248518115198
REG_ds4_fsY_huber_vanilla,0.8120972233813328,0.7329052154515726,0.09589259942327688,0.08500633577685712,-0.15385412029412382,1.0305911961561915,0.05076718190780258
LSTM_ds3_fsY_huber_vanilla,0.7885509090791226,0.7259942974728203,0.08731162078531551,0.07929476308282846,-0.14126241551487362,1.0091142522704115,0.039606854141023766
LSTM_ds5_fsY_mse_vanilla,0.7857758138956701,0.7163932835880703,0.08681134252750744,0.07794990621004416,-0.13820505902864932,1.003506352401869,0.04419782991539601
LSTM_ds3_fsY_mse_vanilla,0.781273771734236,0.7139043300974,0.08703250043516286,0.07833041965823284,-0.14463526575522234,1.0084766023819172,0.04314136491193314
XGB_ds1_fsY_huber_vanilla,0.8657429640501169,0.7096226700776168,0.09161415232122372,0.07278972295264974,-0.14070330296506706,0.9903531007944545,0.09423599273041497
XGB_ds3_fsN_mse_vanilla,0.8681152103866153,0.7076777526478012,0.1021294217113693,0.08021541127015697,-0.1342546217022439,1.0186238347845031,0.10804306878644218
REG_ds4_fsY_huber_kelly,1.0322054233722195,0.7066508063070508,0.19685770452700457,0.12091134003056947,-0.22891360805106176,1.1848641036980088,0.3179084532437495
REG_ds4_fsY_mse_vanilla,0.7916885842227553,0.6987351456721851,0.08867714271400806,0.07657986926846294,-0.13930851803647393,0.9993304204172356,0.06039868985242093
LSTM_ds2_fsY_huber_vanilla,0.7702351236851986,0.6965155206140646,0.08611721462669175,0.07653991302013341,-0.14311578616783482,1.0109808739576278,0.0474526418357441
LSTM_ds3_fsN_mse_vanilla,0.7995229305697558,0.6956069916539581,0.08773741769688792,0.0745652857911494,-0.14393075760319252,1.0075708871294153,0.06559650260062166
XGB_ds5_fsN_mse_vanilla,0.8393348732330942,0.6922180326799164,0.09733343487419366,0.07749360586265519,-0.13431612714995478,1.01565805129482,0.09823620979900077
LSTM_ds4_fsY_huber_vanilla,0.7698067137954936,0.6907048094409066,0.08387321399995673,0.07390469987048243,-0.1365358698426814,1.0017966479851956,0.04996757753221489
XGB_ds3_fsY_mse_vanilla,0.8840538135086754,0.6894503606193269,0.10205078652649724,0.07622596225071332,-0.1354476170127642,1.0153458587378923,0.12759771633326059
